Adult Mortality, HIV/AIDS, thinness  1-19 years, thinness 5-9 years,Schooling,Income composition of resources, BMI ,Polio,GDP,Life expectancy
0.36288088642659283,0.0,0.6195652173913043,0.6035087719298246,0.48792270531400966,0.5052742616033755,0.20973348783314022,0.03125,0.004888585012167692,65.0
0.37396121883656513,0.0,0.6304347826086957,0.6105263157894736,0.4830917874396135,0.5021097046413502,0.2039397450753187,0.5729166666666666,0.005127210932694188,59.9
0.3698060941828255,0.0,0.6376811594202898,0.6175438596491227,0.4782608695652174,0.4957805907172996,0.19814600231749713,0.6145833333333333,0.005287052272765103,59.9
0.37534626038781166,0.0,0.644927536231884,0.6280701754385964,0.4734299516908213,0.48839662447257387,0.19235225955967555,0.6666666666666666,0.005607717574019455,59.5
0.3795013850415513,0.0,0.6557971014492754,0.6350877192982456,0.45893719806763283,0.4789029535864979,0.18771726535341832,0.6770833333333333,0.0005190511921806096,59.2
0.3850415512465374,0.0,0.6630434782608695,0.6421052631578946,0.4444444444444444,0.47257383966244726,0.18192352259559674,0.65625,0.0046290398685463734,58.8
0.3878116343490305,0.0,0.6702898550724639,0.6526315789473683,0.42995169082125606,0.4578059071729958,0.17612977983777522,0.625,0.003727515272773592,58.6
0.3961218836565097,0.0,0.677536231884058,0.6596491228070175,0.42028985507246375,0.45675105485232065,0.17033603707995365,0.6354166666666666,0.0031188760500788174,58.1
0.407202216066482,0.0,0.6847826086956522,0.6666666666666666,0.4057971014492754,0.43776371308016876,0.16454229432213208,0.625,0.0030892940333820786,57.5
0.407202216066482,0.0,0.6920289855072463,0.6736842105263158,0.3913043478260869,0.4272151898734177,0.15874855156431056,0.5729166666666666,0.002273055379192944,57.3
0.40166204986149584,0.0,0.6956521739130435,0.6807017543859648,0.3816425120772947,0.4177215189873418,0.15295480880648898,0.5729166666666666,0.00019814189628619688,57.3
0.40443213296398894,0.0,0.7028985507246377,0.687719298245614,0.32850241545893716,0.40189873417721517,0.14831981460023175,0.02083333333333333,0.0018247719033367047,57.0
0.407202216066482,0.0,0.7101449275362318,0.6947368421052631,0.3140096618357488,0.39345991561181437,0.1436848203939745,0.3958333333333333,0.001653481917975162,56.7
0.0027700831024930752,0.0,0.717391304347826,0.0736842105263158,0.2995169082125604,0.359704641350211,0.13904982618771727,0.34375,0.001562162821217053,56.2
0.4362880886426593,0.0,0.07246376811594203,0.08070175438596491,0.28502415458937197,0.35864978902953587,0.13441483198146004,0.3333333333333333,0.00097184357983113,55.3
0.44321329639889195,0.0,0.07971014492753623,0.08421052631578947,0.26570048309178745,0.3565400843881857,0.1297798377752028,0.21875,0.0009471985025035496,54.8
0.10110803324099724,0.0,0.03985507246376811,0.042105263157894736,0.6859903381642511,0.8037974683544303,0.660486674391657,1.0,0.03316699931237374,77.8
0.009695290858725761,0.0,0.03985507246376811,0.042105263157894736,0.6859903381642511,0.8027426160337553,0.6512166859791425,0.9895833333333333,0.03838249336481422,77.5
0.1149584487534626,0.0,0.043478260869565216,0.045614035087719294,0.6859903381642511,0.8006329113924051,0.6431054461181923,1.0,0.03703115314520136,77.2
0.11772853185595568,0.0,0.043478260869565216,0.045614035087719294,0.6859903381642511,0.7932489451476793,0.6349942062572421,1.0,0.035628893575059224,76.9
0.12049861495844875,0.0,0.04710144927536231,0.04912280701754386,0.6425120772946861,0.7784810126582279,0.626882966396292,1.0,0.03721958429547565,76.6
0.12465373961218836,0.0,0.04710144927536231,0.04912280701754386,0.6038647342995169,0.7647679324894514,0.6176129779837775,1.0,0.004134204060445616,76.2
0.12465373961218836,0.0,0.050724637681159424,0.052631578947368425,0.5893719806763285,0.760548523206751,0.608342989571263,0.9895833333333333,0.03450884115213057,76.1
0.0,0.0,0.05434782608695653,0.052631578947368425,0.5797101449275363,0.7521097046413502,0.5979142526071842,1.0,0.0036574172903569226,75.3
0.0110803324099723,0.0,0.05434782608695653,0.056140350877192984,0.5603864734299516,0.7415611814345991,0.5874855156431055,1.0,0.0030330811745327554,75.9
0.13573407202216067,0.0,0.057971014492753624,0.05964912280701755,0.5507246376811594,0.7341772151898733,0.05561993047508691,0.9791666666666665,0.0002806717492795459,74.2
0.019390581717451522,0.0,0.06159420289855072,0.05964912280701755,0.5217391304347826,0.7225738396624473,0.5666280417149478,0.9791666666666665,0.002328263086291937,73.5
0.0221606648199446,0.0,0.06159420289855072,0.06315789473684211,0.5265700483091788,0.7183544303797469,0.5550405561993047,0.9895833333333333,0.02026420572143193,73.0
0.023545706371191136,0.0,0.06521739130434782,0.06666666666666667,0.5169082125603864,0.7109704641350212,0.5434530706836617,0.9791666666666665,0.0015775659483946464,72.8
0.019390581717451522,0.0,0.06884057971014493,0.07017543859649122,0.5169082125603864,0.7067510548523207,0.5318655851680185,0.9895833333333333,0.012183842465756963,73.3
0.018005540166204984,0.0,0.07246376811594203,0.07017543859649122,0.5120772946859903,0.6983122362869199,0.5214368482039398,0.9791666666666665,0.011120921765700375,73.6
0.013850415512465374,0.0,0.07246376811594203,0.0736842105263158,0.5169082125603864,0.6919831223628692,0.5098493626882966,0.9791666666666665,0.009852288186129,72.6
0.02493074792243767,0.0,0.21376811594202902,0.19999999999999998,0.6956521739130435,0.7837552742616034,0.6778679026651216,0.9583333333333333,0.03466514063398183,75.6
0.013850415512465374,0.0,0.21376811594202902,0.19999999999999998,0.6956521739130435,0.7816455696202531,0.6651216685979142,0.9583333333333333,0.0045830787100292186,75.4
0.15373961218836565,0.0,0.21014492753623193,0.19999999999999998,0.6956521739130435,0.7774261603375527,0.6512166859791425,0.9583333333333333,0.0459019613935138,75.3
0.1551246537396122,0.0,0.21014492753623193,0.19999999999999998,0.6956521739130435,0.7721518987341772,0.6384704519119351,0.9583333333333333,0.046682007267478336,75.1
0.1592797783933518,0.0,0.21014492753623193,0.19999999999999998,0.6763285024154589,0.7637130801687764,0.6257242178447276,0.9583333333333333,0.04556954456470979,74.9
0.16343490304709143,0.0,0.21014492753623193,0.19999999999999998,0.6570048309178743,0.7531645569620253,0.6129779837775202,0.9583333333333333,0.03743957054801889,74.7
